,Scores,Alive_Duration,Epsilon_Discount,Learning_Rate,Discount_Rate
152,0,186,0.9998,0.01,0.95
153,0,186,0.9998,0.01,0.95
154,0,186,0.9998,0.01,0.95
155,0,186,0.9998,0.01,0.95
156,0,186,0.9998,0.01,0.95
157,1,186,0.9998,0.01,0.95
158,0,186,0.9998,0.01,0.95
159,0,186,0.9998,0.01,0.95
160,0,186,0.9998,0.01,0.95
161,0,186,0.9998,0.01,0.95
162,0,186,0.9998,0.01,0.95
163,0,186,0.9998,0.01,0.95
164,0,186,0.9998,0.01,0.95
165,0,186,0.9998,0.01,0.95
166,1,186,0.9998,0.01,0.95
167,0,186,0.9998,0.01,0.95
168,0,186,0.9998,0.01,0.95
169,1,186,0.9998,0.01,0.95
170,0,186,0.9998,0.01,0.95
171,0,186,0.9998,0.01,0.95
172,0,186,0.9998,0.01,0.95
173,0,186,0.9998,0.01,0.95
174,0,186,0.9998,0.01,0.95
175,0,186,0.9998,0.01,0.95
176,0,186,0.9998,0.01,0.95
177,0,186,0.9998,0.01,0.95
178,0,186,0.9998,0.01,0.95
179,0,186,0.9998,0.01,0.95
180,0,186,0.9998,0.01,0.95
181,0,186,0.9998,0.01,0.95
182,0,186,0.9998,0.01,0.95
183,0,186,0.9998,0.01,0.95
184,0,186,0.9998,0.01,0.95
185,1,186,0.9998,0.01,0.95
186,0,186,0.9998,0.01,0.95
187,0,186,0.9998,0.01,0.95
188,0,186,0.9998,0.01,0.95
189,0,186,0.9998,0.01,0.95
190,0,186,0.9998,0.01,0.95
191,0,186,0.9998,0.01,0.95
192,0,186,0.9998,0.01,0.95
193,0,186,0.9998,0.01,0.95
194,0,186,0.9998,0.01,0.95
195,0,186,0.9998,0.01,0.95
196,0,186,0.9998,0.01,0.95
197,0,186,0.9998,0.01,0.95
198,1,186,0.9998,0.01,0.95
199,0,186,0.9998,0.01,0.95
200,0,186,0.9998,0.01,0.95
201,0,186,0.9998,0.01,0.95
202,0,186,0.9998,0.01,0.95
203,1,186,0.9998,0.01,0.95
204,0,186,0.9998,0.01,0.95
205,0,186,0.9998,0.01,0.95
206,2,186,0.9998,0.01,0.95
207,0,186,0.9998,0.01,0.95
208,0,186,0.9998,0.01,0.95
209,1,186,0.9998,0.01,0.95
210,0,186,0.9998,0.01,0.95
211,0,186,0.9998,0.01,0.95
212,0,186,0.9998,0.01,0.95
213,0,186,0.9998,0.01,0.95
214,0,186,0.9998,0.01,0.95
215,1,186,0.9998,0.01,0.95
216,0,186,0.9998,0.01,0.95
217,0,186,0.9998,0.01,0.95
218,1,186,0.9998,0.01,0.95
219,1,186,0.9998,0.01,0.95
220,0,186,0.9998,0.01,0.95
221,0,186,0.9998,0.01,0.95
222,0,186,0.9998,0.01,0.95
223,0,186,0.9998,0.01,0.95
224,0,186,0.9998,0.01,0.95
225,0,186,0.9998,0.01,0.95
226,0,186,0.9998,0.01,0.95
227,0,186,0.9998,0.01,0.95
228,1,186,0.9998,0.01,0.95
229,0,186,0.9998,0.01,0.95
230,1,186,0.9998,0.01,0.95
231,0,186,0.9998,0.01,0.95
232,0,186,0.9998,0.01,0.95
233,0,186,0.9998,0.01,0.95
234,0,186,0.9998,0.01,0.95
