,Scores,Alive_Duration,Epsilon_Discount,Learning_Rate,Discount_Rate
72,0,2392,0.9992,0.1,0.95
73,0,2392,0.9992,0.1,0.95
74,1,2392,0.9992,0.1,0.95
75,1,2392,0.9992,0.1,0.95
76,0,2392,0.9992,0.1,0.95
77,0,2392,0.9992,0.1,0.95
78,0,2392,0.9992,0.1,0.95
79,2,2392,0.9992,0.1,0.95
80,0,2392,0.9992,0.1,0.95
81,0,2392,0.9992,0.1,0.95
82,0,2392,0.9992,0.1,0.95
83,0,2392,0.9992,0.1,0.95
84,0,2392,0.9992,0.1,0.95
85,0,2392,0.9992,0.1,0.95
86,1,2392,0.9992,0.1,0.95
87,0,2392,0.9992,0.1,0.95
88,1,2392,0.9992,0.1,0.95
89,0,2392,0.9992,0.1,0.95
90,1,2392,0.9992,0.1,0.95
91,0,2392,0.9992,0.1,0.95
92,0,2392,0.9992,0.1,0.95
93,1,2392,0.9992,0.1,0.95
94,1,2392,0.9992,0.1,0.95
95,0,2392,0.9992,0.1,0.95
96,0,2392,0.9992,0.1,0.95
97,0,2392,0.9992,0.1,0.95
98,0,2392,0.9992,0.1,0.95
99,0,2392,0.9992,0.1,0.95
100,0,2392,0.9992,0.1,0.95
101,0,2392,0.9992,0.1,0.95
102,0,2392,0.9992,0.1,0.95
103,1,2392,0.9992,0.1,0.95
104,0,2392,0.9992,0.1,0.95
105,0,2392,0.9992,0.1,0.95
106,0,2392,0.9992,0.1,0.95
107,0,2392,0.9992,0.1,0.95
108,2,2392,0.9992,0.1,0.95
109,0,2392,0.9992,0.1,0.95
110,1,2392,0.9992,0.1,0.95
111,0,2392,0.9992,0.1,0.95
112,0,2392,0.9992,0.1,0.95
113,0,2392,0.9992,0.1,0.95
114,0,2392,0.9992,0.1,0.95
115,0,2392,0.9992,0.1,0.95
116,0,2392,0.9992,0.1,0.95
117,0,2392,0.9992,0.1,0.95
118,0,2392,0.9992,0.1,0.95
119,0,2392,0.9992,0.1,0.95
120,0,2392,0.9992,0.1,0.95
121,1,2392,0.9992,0.1,0.95
122,0,2392,0.9992,0.1,0.95
123,1,2392,0.9992,0.1,0.95
