,Scores,Alive_Duration,Epsilon_Discount,Learning_Rate,Discount_Rate
275,1,1350,0.9992,0.001,0.95
276,0,1350,0.9992,0.001,0.95
277,0,1350,0.9992,0.001,0.95
278,1,1350,0.9992,0.001,0.95
279,0,1350,0.9992,0.001,0.95
280,1,1350,0.9992,0.001,0.95
281,0,1350,0.9992,0.001,0.95
282,2,1350,0.9992,0.001,0.95
283,0,1350,0.9992,0.001,0.95
284,1,1350,0.9992,0.001,0.95
285,2,1350,0.9992,0.001,0.95
286,2,1350,0.9992,0.001,0.95
287,0,1350,0.9992,0.001,0.95
288,0,1350,0.9992,0.001,0.95
289,0,1350,0.9992,0.001,0.95
290,1,1350,0.9992,0.001,0.95
291,0,1350,0.9992,0.001,0.95
292,0,1350,0.9992,0.001,0.95
293,1,1350,0.9992,0.001,0.95
294,1,1350,0.9992,0.001,0.95
295,2,1350,0.9992,0.001,0.95
296,0,1350,0.9992,0.001,0.95
297,1,1350,0.9992,0.001,0.95
298,0,1350,0.9992,0.001,0.95
299,4,1350,0.9992,0.001,0.95
300,0,1350,0.9992,0.001,0.95
301,1,1350,0.9992,0.001,0.95
302,0,1350,0.9992,0.001,0.95
303,1,1350,0.9992,0.001,0.95
304,3,1350,0.9992,0.001,0.95
305,1,1350,0.9992,0.001,0.95
306,1,1350,0.9992,0.001,0.95
307,0,1350,0.9992,0.001,0.95
308,1,1350,0.9992,0.001,0.95
309,1,1350,0.9992,0.001,0.95
310,2,1350,0.9992,0.001,0.95
311,1,1350,0.9992,0.001,0.95
312,2,1350,0.9992,0.001,0.95
313,0,1350,0.9992,0.001,0.95
314,1,1350,0.9992,0.001,0.95
315,0,1350,0.9992,0.001,0.95
316,0,1350,0.9992,0.001,0.95
317,1,1350,0.9992,0.001,0.95
318,1,1350,0.9992,0.001,0.95
319,0,1350,0.9992,0.001,0.95
320,2,1350,0.9992,0.001,0.95
321,0,1350,0.9992,0.001,0.95
322,1,1350,0.9992,0.001,0.95
323,0,1350,0.9992,0.001,0.95
324,2,1350,0.9992,0.001,0.95
325,2,1350,0.9992,0.001,0.95
326,1,1350,0.9992,0.001,0.95
327,2,1350,0.9992,0.001,0.95
328,1,1350,0.9992,0.001,0.95
329,0,1350,0.9992,0.001,0.95
330,0,1350,0.9992,0.001,0.95
331,1,1350,0.9992,0.001,0.95
332,0,1350,0.9992,0.001,0.95
333,1,1350,0.9992,0.001,0.95
334,1,1350,0.9992,0.001,0.95
335,1,1350,0.9992,0.001,0.95
336,1,1350,0.9992,0.001,0.95
337,0,1350,0.9992,0.001,0.95
338,0,1350,0.9992,0.001,0.95
339,2,1350,0.9992,0.001,0.95
340,0,1350,0.9992,0.001,0.95
341,1,1350,0.9992,0.001,0.95
342,3,1350,0.9992,0.001,0.95
343,2,1350,0.9992,0.001,0.95
344,0,1350,0.9992,0.001,0.95
345,1,1350,0.9992,0.001,0.95
346,1,1350,0.9992,0.001,0.95
347,1,1350,0.9992,0.001,0.95
348,0,1350,0.9992,0.001,0.95
349,0,1350,0.9992,0.001,0.95
350,1,1350,0.9992,0.001,0.95
351,1,1350,0.9992,0.001,0.95
352,1,1350,0.9992,0.001,0.95
353,1,1350,0.9992,0.001,0.95
354,3,1350,0.9992,0.001,0.95
355,0,1350,0.9992,0.001,0.95
356,0,1350,0.9992,0.001,0.95
357,1,1350,0.9992,0.001,0.95
358,1,1350,0.9992,0.001,0.95
359,1,1350,0.9992,0.001,0.95
360,1,1350,0.9992,0.001,0.95
361,2,1350,0.9992,0.001,0.95
362,4,1350,0.9992,0.001,0.95
363,0,1350,0.9992,0.001,0.95
364,1,1350,0.9992,0.001,0.95
365,1,1350,0.9992,0.001,0.95
366,2,1350,0.9992,0.001,0.95
367,2,1350,0.9992,0.001,0.95
368,1,1350,0.9992,0.001,0.95
369,1,1350,0.9992,0.001,0.95
370,1,1350,0.9992,0.001,0.95
371,1,1350,0.9992,0.001,0.95
372,2,1350,0.9992,0.001,0.95
373,3,1350,0.9992,0.001,0.95
374,0,1350,0.9992,0.001,0.95
375,0,1350,0.9992,0.001,0.95
376,2,1350,0.9992,0.001,0.95
377,0,1350,0.9992,0.001,0.95
378,2,1350,0.9992,0.001,0.95
379,1,1350,0.9992,0.001,0.95
380,1,1350,0.9992,0.001,0.95
381,1,1350,0.9992,0.001,0.95
382,1,1350,0.9992,0.001,0.95
383,1,1350,0.9992,0.001,0.95
384,1,1350,0.9992,0.001,0.95
385,2,1350,0.9992,0.001,0.95
386,2,1350,0.9992,0.001,0.95
387,2,1350,0.9992,0.001,0.95
388,0,1350,0.9992,0.001,0.95
389,3,1350,0.9992,0.001,0.95
390,1,1350,0.9992,0.001,0.95
391,1,1350,0.9992,0.001,0.95
392,0,1350,0.9992,0.001,0.95
393,4,1350,0.9992,0.001,0.95
394,0,1350,0.9992,0.001,0.95
395,1,1350,0.9992,0.001,0.95
396,0,1350,0.9992,0.001,0.95
397,1,1350,0.9992,0.001,0.95
398,1,1350,0.9992,0.001,0.95
399,4,1350,0.9992,0.001,0.95
400,1,1350,0.9992,0.001,0.95
401,1,1350,0.9992,0.001,0.95
402,1,1350,0.9992,0.001,0.95
403,0,1350,0.9992,0.001,0.95
404,1,1350,0.9992,0.001,0.95
405,4,1350,0.9992,0.001,0.95
406,1,1350,0.9992,0.001,0.95
407,2,1350,0.9992,0.001,0.95
408,3,1350,0.9992,0.001,0.95
409,1,1350,0.9992,0.001,0.95
410,1,1350,0.9992,0.001,0.95
411,2,1350,0.9992,0.001,0.95
412,0,1350,0.9992,0.001,0.95
413,1,1350,0.9992,0.001,0.95
414,2,1350,0.9992,0.001,0.95
415,1,1350,0.9992,0.001,0.95
416,4,1350,0.9992,0.001,0.95
417,0,1350,0.9992,0.001,0.95
418,0,1350,0.9992,0.001,0.95
419,1,1350,0.9992,0.001,0.95
420,3,1350,0.9992,0.001,0.95
421,0,1350,0.9992,0.001,0.95
422,2,1350,0.9992,0.001,0.95
423,4,1350,0.9992,0.001,0.95
424,2,1350,0.9992,0.001,0.95
425,0,1350,0.9992,0.001,0.95
426,3,1350,0.9992,0.001,0.95
427,2,1350,0.9992,0.001,0.95
428,4,1350,0.9992,0.001,0.95
429,4,1350,0.9992,0.001,0.95
430,3,1350,0.9992,0.001,0.95
431,0,1350,0.9992,0.001,0.95
432,3,1350,0.9992,0.001,0.95
433,3,1350,0.9992,0.001,0.95
434,1,1350,0.9992,0.001,0.95
435,0,1350,0.9992,0.001,0.95
436,3,1350,0.9992,0.001,0.95
437,3,1350,0.9992,0.001,0.95
438,3,1350,0.9992,0.001,0.95
439,1,1350,0.9992,0.001,0.95
440,2,1350,0.9992,0.001,0.95
441,2,1350,0.9992,0.001,0.95
442,4,1350,0.9992,0.001,0.95
443,1,1350,0.9992,0.001,0.95
444,1,1350,0.9992,0.001,0.95
445,1,1350,0.9992,0.001,0.95
446,2,1350,0.9992,0.001,0.95
447,1,1350,0.9992,0.001,0.95
448,1,1350,0.9992,0.001,0.95
449,1,1350,0.9992,0.001,0.95
450,0,1350,0.9992,0.001,0.95
451,1,1350,0.9992,0.001,0.95
452,0,1350,0.9992,0.001,0.95
453,1,1350,0.9992,0.001,0.95
454,3,1350,0.9992,0.001,0.95
455,4,1350,0.9992,0.001,0.95
456,0,1350,0.9992,0.001,0.95
457,1,1350,0.9992,0.001,0.95
458,1,1350,0.9992,0.001,0.95
459,1,1350,0.9992,0.001,0.95
460,3,1350,0.9992,0.001,0.95
461,1,1350,0.9992,0.001,0.95
462,0,1350,0.9992,0.001,0.95
463,0,1350,0.9992,0.001,0.95
464,2,1350,0.9992,0.001,0.95
465,1,1350,0.9992,0.001,0.95
466,3,1350,0.9992,0.001,0.95
467,2,1350,0.9992,0.001,0.95
468,2,1350,0.9992,0.001,0.95
469,4,1350,0.9992,0.001,0.95
470,4,1350,0.9992,0.001,0.95
471,0,1350,0.9992,0.001,0.95
472,2,1350,0.9992,0.001,0.95
473,0,1350,0.9992,0.001,0.95
474,1,1350,0.9992,0.001,0.95
475,1,1350,0.9992,0.001,0.95
476,1,1350,0.9992,0.001,0.95
477,3,1350,0.9992,0.001,0.95
478,4,1350,0.9992,0.001,0.95
479,1,1350,0.9992,0.001,0.95
480,1,1350,0.9992,0.001,0.95
481,3,1350,0.9992,0.001,0.95
482,1,1350,0.9992,0.001,0.95
483,2,1350,0.9992,0.001,0.95
484,2,1350,0.9992,0.001,0.95
485,0,1350,0.9992,0.001,0.95
486,0,1350,0.9992,0.001,0.95
487,0,1350,0.9992,0.001,0.95
488,4,1350,0.9992,0.001,0.95
489,2,1350,0.9992,0.001,0.95
490,1,1350,0.9992,0.001,0.95
491,1,1350,0.9992,0.001,0.95
492,3,1350,0.9992,0.001,0.95
493,2,1350,0.9992,0.001,0.95
494,2,1350,0.9992,0.001,0.95
495,3,1350,0.9992,0.001,0.95
496,0,1350,0.9992,0.001,0.95
497,2,1350,0.9992,0.001,0.95
498,2,1350,0.9992,0.001,0.95
499,2,1350,0.9992,0.001,0.95
500,1,1350,0.9992,0.001,0.95
501,2,1350,0.9992,0.001,0.95
502,4,1350,0.9992,0.001,0.95
503,0,1350,0.9992,0.001,0.95
504,1,1350,0.9992,0.001,0.95
505,2,1350,0.9992,0.001,0.95
506,2,1350,0.9992,0.001,0.95
507,1,1350,0.9992,0.001,0.95
508,2,1350,0.9992,0.001,0.95
509,3,1350,0.9992,0.001,0.95
510,2,1350,0.9992,0.001,0.95
511,1,1350,0.9992,0.001,0.95
512,0,1350,0.9992,0.001,0.95
513,4,1350,0.9992,0.001,0.95
514,2,1350,0.9992,0.001,0.95
515,4,1350,0.9992,0.001,0.95
516,1,1350,0.9992,0.001,0.95
517,3,1350,0.9992,0.001,0.95
518,3,1350,0.9992,0.001,0.95
519,3,1350,0.9992,0.001,0.95
520,1,1350,0.9992,0.001,0.95
521,0,1350,0.9992,0.001,0.95
522,3,1350,0.9992,0.001,0.95
523,2,1350,0.9992,0.001,0.95
524,4,1350,0.9992,0.001,0.95
525,1,1350,0.9992,0.001,0.95
526,2,1350,0.9992,0.001,0.95
527,1,1350,0.9992,0.001,0.95
528,4,1350,0.9992,0.001,0.95
529,1,1350,0.9992,0.001,0.95
530,4,1350,0.9992,0.001,0.95
531,1,1350,0.9992,0.001,0.95
532,0,1350,0.9992,0.001,0.95
533,0,1350,0.9992,0.001,0.95
534,1,1350,0.9992,0.001,0.95
535,4,1350,0.9992,0.001,0.95
536,4,1350,0.9992,0.001,0.95
537,2,1350,0.9992,0.001,0.95
538,1,1350,0.9992,0.001,0.95
539,3,1350,0.9992,0.001,0.95
540,1,1350,0.9992,0.001,0.95
541,0,1350,0.9992,0.001,0.95
542,4,1350,0.9992,0.001,0.95
543,0,1350,0.9992,0.001,0.95
544,1,1350,0.9992,0.001,0.95
545,2,1350,0.9992,0.001,0.95
546,5,1350,0.9992,0.001,0.95
547,3,1350,0.9992,0.001,0.95
548,1,1350,0.9992,0.001,0.95
549,2,1350,0.9992,0.001,0.95
550,2,1350,0.9992,0.001,0.95
551,2,1350,0.9992,0.001,0.95
552,5,1350,0.9992,0.001,0.95
553,1,1350,0.9992,0.001,0.95
554,4,1350,0.9992,0.001,0.95
555,3,1350,0.9992,0.001,0.95
556,3,1350,0.9992,0.001,0.95
557,0,1350,0.9992,0.001,0.95
558,0,1350,0.9992,0.001,0.95
559,3,1350,0.9992,0.001,0.95
560,1,1350,0.9992,0.001,0.95
561,1,1350,0.9992,0.001,0.95
562,3,1350,0.9992,0.001,0.95
563,1,1350,0.9992,0.001,0.95
564,3,1350,0.9992,0.001,0.95
565,1,1350,0.9992,0.001,0.95
566,0,1350,0.9992,0.001,0.95
567,3,1350,0.9992,0.001,0.95
568,3,1350,0.9992,0.001,0.95
569,1,1350,0.9992,0.001,0.95
570,3,1350,0.9992,0.001,0.95
571,0,1350,0.9992,0.001,0.95
572,1,1350,0.9992,0.001,0.95
573,4,1350,0.9992,0.001,0.95
574,1,1350,0.9992,0.001,0.95
575,3,1350,0.9992,0.001,0.95
576,2,1350,0.9992,0.001,0.95
577,2,1350,0.9992,0.001,0.95
578,2,1350,0.9992,0.001,0.95
579,1,1350,0.9992,0.001,0.95
580,1,1350,0.9992,0.001,0.95
581,2,1350,0.9992,0.001,0.95
582,1,1350,0.9992,0.001,0.95
583,1,1350,0.9992,0.001,0.95
584,4,1350,0.9992,0.001,0.95
585,0,1350,0.9992,0.001,0.95
